t,vram_used_mib,vram_free_mib,gpu_util_pct,power_w,comfyui_ram_mb,qwen_ram_mb
1127.0,,,,,28940,0
1132.0,,,,,28940,0
1137.0,,,,,28940,0
1143.0,,,,,28940,0
1148.0,,,,,28940,0
1153.0,,,,,28940,0
1159.0,,,,,28940,0
1164.0,,,,,28940,0
1170.0,,,,,28940,0
1175.0,,,,,28940,0
1180.0,,,,,28940,0
1186.0,,,,,28940,0
1191.0,,,,,28940,0
1196.0,,,,,28940,0
1202.0,,,,,28940,0
1207.0,,,,,28940,0
1212.0,,,,,28940,0
1218.0,,,,,28940,0
1223.0,,,,,28940,0
1229.0,,,,,28940,0
1234.0,,,,,28940,0
1239.0,,,,,28940,0
1245.0,,,,,28940,0
1250.0,,,,,28940,0
1255.0,,,,,28940,0
1261.0,,,,,28940,0
1266.0,,,,,28940,0
1271.0,,,,,28940,0
1277.0,,,,,28940,0
1282.0,,,,,28940,0
1288.0,,,,,28940,0
1293.0,,,,,28940,0
1298.0,,,,,28940,0
1304.0,,,,,28940,0
1309.0,,,,,28940,0
1314.0,,,,,28940,0
1320.0,,,,,28940,0
1325.0,,,,,28940,0
1330.0,,,,,28940,0
1336.0,,,,,28940,0
1341.0,,,,,28940,0
1346.0,,,,,28940,0
1352.0,,,,,28940,0
1357.0,,,,,28940,0
1362.0,,,,,28940,0
1368.0,,,,,28940,0
1373.0,,,,,28940,0
1379.0,,,,,28940,0
1384.0,,,,,25401,0
1389.0,,,,,25401,0
1395.0,,,,,25401,0
1400.0,,,,,25401,0
1405.0,,,,,25401,0
1411.0,,,,,25401,0
1416.0,,,,,25401,0
1421.0,,,,,25401,0
1427.0,,,,,25401,0
1432.0,,,,,25401,0
1438.0,,,,,25401,0
1443.0,,,,,25401,0
1448.0,,,,,25401,0
1454.0,,,,,25401,0
1459.0,,,,,25401,0
1464.0,,,,,25401,0
1470.0,,,,,25401,0
1475.0,,,,,25401,0
1480.0,,,,,25401,0
1486.0,,,,,25401,0
1491.0,,,,,25401,0
1497.0,,,,,25401,0
1502.0,,,,,25401,0
1507.0,,,,,25401,0
1513.0,,,,,25402,0
1518.0,,,,,25402,0
1523.0,,,,,25402,0
1529.0,,,,,25402,0
1534.0,,,,,25402,0
1539.0,,,,,25402,0
1545.0,,,,,25402,0
1550.0,,,,,25402,0
1555.0,,,,,25402,0
1561.0,,,,,25402,0
1566.0,,,,,25402,0
1571.0,,,,,25402,0
1577.0,,,,,25402,0
1582.0,,,,,25402,0
1588.0,,,,,25402,0
1593.0,,,,,25402,0
1598.0,,,,,25402,0
1604.0,,,,,25402,0
1609.0,,,,,25402,0
1614.0,,,,,25402,0
1620.0,,,,,25402,0
1625.0,,,,,25402,0
1630.0,,,,,25402,0
1636.0,,,,,25402,0
1641.0,,,,,25402,0
1647.0,,,,,25402,0
1652.0,,,,,25402,0
1657.0,,,,,25402,0
1663.0,,,,,25402,0
1668.0,,,,,25402,0
1673.0,,,,,25402,0
1679.0,,,,,25402,0
1684.0,,,,,15798,0
1689.0,,,,,14796,0
1695.0,,,,,14796,0
1700.0,,,,,14796,0
1705.0,,,,,14796,0
1711.0,,,,,14796,0
1716.0,,,,,14796,0
1722.0,,,,,14796,0
1727.0,,,,,14796,0
1732.0,,,,,14796,0
1738.0,,,,,14796,0
1743.0,,,,,14796,0
1748.0,,,,,14796,0
1754.0,,,,,14796,0
1759.0,,,,,14796,0
1765.0,,,,,14796,0
1770.0,,,,,14796,0
1775.0,,,,,14796,0
1781.0,,,,,14796,0
1786.0,,,,,14796,0
1791.0,,,,,14796,0
1797.0,,,,,14796,0
1802.0,,,,,14796,0
1808.0,,,,,14796,0
1813.0,,,,,14796,0
1818.0,,,,,14796,0
1824.0,,,,,14796,0
1829.0,,,,,14796,0
1834.0,,,,,14796,0
1840.0,,,,,14796,0
1845.0,,,,,14796,0
1850.0,,,,,14796,0
1856.0,,,,,14796,0
1861.0,,,,,14796,0
1867.0,,,,,14796,0
1872.0,,,,,14796,0
1877.0,,,,,14796,0
1883.0,,,,,14796,0
1888.0,,,,,14796,0
1893.0,,,,,14796,0
1899.0,,,,,14796,0
1904.0,,,,,14796,0
1910.0,,,,,14796,0
1915.0,,,,,14796,0
1920.0,,,,,14796,0
1926.0,,,,,14796,0
1931.0,,,,,14796,0
1936.0,,,,,14796,0
1942.0,,,,,14796,0
1947.0,,,,,14796,0
1953.0,,,,,14796,0
1958.0,,,,,14796,0
1963.0,,,,,14796,0
1969.0,,,,,14796,0
1974.0,,,,,14796,0
1979.0,,,,,14796,0
1985.0,,,,,14796,0
1990.0,,,,,11316,0
1995.0,,,,,11316,0
2001.0,,,,,11316,0
2006.0,,,,,11316,0
2012.0,,,,,11316,0
2017.0,,,,,11316,0
2022.0,,,,,11316,0
2028.0,,,,,11316,0
2033.0,,,,,11316,0
2038.0,,,,,11316,0
2044.0,,,,,11316,0
2049.0,,,,,11316,0
2055.0,,,,,11316,0
2060.0,,,,,11316,0
2066.0,,,,,11316,0
2071.0,,,,,11316,0
2076.0,,,,,11316,0
2082.0,,,,,11316,0
2087.0,,,,,11316,0
2092.0,,,,,11316,0
2098.0,,,,,11316,0
2103.0,,,,,11316,0
2108.0,,,,,11316,0
2114.0,,,,,11316,0
2119.0,,,,,11316,0
2125.0,,,,,11316,0
2130.0,,,,,11316,0
2135.0,,,,,11316,0
2141.0,,,,,11316,0
2146.0,,,,,11316,0
2151.0,,,,,11316,0
2157.0,,,,,11316,0
2162.0,,,,,11316,0
2168.0,,,,,11316,0
2173.0,,,,,11316,0
2178.0,,,,,11316,0
2184.0,,,,,11316,0
2189.0,,,,,11316,0
2195.0,,,,,11316,0
2200.0,,,,,11316,0
2205.0,,,,,11316,0
2211.0,,,,,11316,0
2216.0,,,,,11316,0
2221.0,,,,,11316,0
2227.0,,,,,11316,0
2232.0,,,,,11316,0
2237.0,,,,,11316,0
2243.0,,,,,13315,0
2248.0,,,,,14899,0
2254.0,,,,,15501,0
2259.0,,,,,15802,0
2265.0,,,,,16404,0
2270.0,,,,,17006,0
2275.0,,,,,17308,0
2281.0,,,,,17910,0
2286.0,,,,,16612,0
2291.0,,,,,14597,0
2297.0,,,,,15200,0
2302.0,,,,,15802,0
2308.0,,,,,16105,0
2313.0,,,,,17088,0
2318.0,,,,,17104,0
2324.0,,,,,16829,0
2329.0,,,,,16829,0
2334.0,,,,,16829,0
2340.0,,,,,16829,0
